userName,content
m. dhanny,belakangam  kebamyakan iklan yg todak  skip kelamaan jd malas
Daniel Mandagi,berita nya the best
imronsyah,saya penasaran sih   kenapa bintang     akhirnya donlot deh  
Jun Seta,mantap     berita terkini tersaji cepat tepat 
Nu Rul,tank  lanjut          
Hary Prasetyo,berita nya update bermanfaat
elan Land,update akurat
iwan poerwantono,bagus  up date cepat
dasep fakhrudin,berita online oke
Abdul SYUKUR,saya puas walaupun cara anda bekerjanya kurang baik danbenar saya puad
Arief Prihartono,lugas  update terpercaya
Sulaiman Susanto,beritanya up date diperbanyak berita menyejukan masyarakat 
kartika rosdaliyanti,berita  ny update terpercaya
Tayan Yan,padat berita by request
Amiril Yusuf,hari revisi penilaian baik    semoga detik berbenah berimbang lagi   bintang   deh    berimbang lagi   kembalikan bintang  
Boim nugraha,beritanya bagus upded saat tidak pakai ngasih kabar terkini terus terang suka detikcom  buat detikcom maju kabar beritanya
petra donia,hati hati bijaksanalah berita sensitif agama  
kasim raka,bagus mantap   update trs
Pak Zarkoni,deticom ok
Karwan Bms,cepat beritanya  akurat isinya 
Jbr-Nur Yanuar Pratama,coba iklannya bigo jgn ditampilkan  mengganggu 
Agus Muslim,sangat up to date
Rommy,update berita nya ya
Dwi Wahyu,berita nya seka li detail  kesempatan pembaca opininya  games  hiburan film live music seru reward terbaik
Yulius Yulius,bagus keren
Agus salim,bagus informasi
Jonathan Glen,bagus baca
Yosef Suwandi,beritanya dipercaya  
Mashuri Mashuri,suka banget  jadi ketinggalan berita info
Nur Saman,liat informasih bagus
Winato Karim,andalan mencari berita yg terpercaya
Luk Man,cerdas
Thomas natus winang0en,baik  dan objektif
Tarjo Jo,berita lebih update
ismail saberi,aplikasi berguna  kali hapus aplikasi hp vivo saya  bisa  aplikasi bawaan hp   
Herman Citra manik,id ide adalah bisnis central asia bisnis lokal maupun bisnis android financial situation comisien againist coruption independent world lokal
Purwanto 773,aplikasi bagus  berita terupdate
ilman fadillah,banyak iklan detik
Wong Banyuwangi,selalu update info
Yusuf Rahmanto,kebanyakan iklan  berita independen
Sigit irianto,cukup bagus beritanya diberitakan good
Condro Yugantoro,sudah uninstal lama   rakyat indonesia   pandailah memilih portal berita yg berbobot bukan supaya salah wawasan
Asep Saepudin,ok jo 
muh husni masud mangka,sumpah iklannya mengganggu sekali  close
W Jaj,pada mengaktifkan dark mode tulisan artikel slide page dst  menjadi gelap  gimana baca min gelap  
Ardi Dev,udh oke kak thks
dhino nose,sekarang suka muncul iklan buka aplikasinya
andriya gunartono,urutannya berimbang memberitakan  berimbang   
Rosa Handoko Dikari,update  cepet infonya
Farid Hamzag,ya dr jaman detikcoom slalu sy mengukuti berita detickom  semoga berita  nya smakin independen terpercaya
Eddy Cung,skr kali dibuka muncul iklan trus yg ga skip
marlin Silalahi,mantps
Richard Rizano,ulasan beritanya kadang singkat 
Amir Elsasaky,mantab lah
Hadiyanto SMADA,berita up date hoax 
Mukhtar Tahir,sangat senang membaca konten konteksnya
Benny Sembiring,berita update terbaru
Disman Lagi,heieiri
Rudi Kristanto,  nutup sendiri    tiap buka berita muncul full iklan
Nanda Prananda,beritanya lumayan lengkap
Benny Usman,bagus mudah dicernah beritanya bingung komen gak ya 
Rafael Stanley TR,hahahaha
Ilham Tawaqal,memudahkan membaca berita update terkini hp saja 
Hamdani Nur,bagus pelajaran  kitangak tahu  dan dimengerti
Ando Skywalker,kebanyakan iklan popup berita berulang 
Andri Setiawan,dulu bintang   skrg kasih    kebanyakan iklan lama  iklannya 
Sutasman M Yahya,selalu update kejadian
Hadi Suripto,detik update berita
haura wijaya,selalu dibaca
Mr. yoes,sangat bermanfaat  update detik
Nurijati Tjandra Dewi,berita sll terupdate
DwiPras,tolong diperbaiki video    detik  kadang judul isi videonya gga nyambung  contohnya judul nya ngasih tau cuplikan gol belom diunjukin gol nya ehh video nya udah selesai  kadang berita udah nonggol aja dikolom iklan nya banget sangat mengganggu  terima kasih 
arief ccv,iklan shopy nya  buka iklan
Pri Pri,kok ga independen berita nya 
Sarah Dedy,ia oke
Novel Pebriansyah,banyak berita ga sesuai judul isinya
Akhmad Yani Yulianto,sebenarnya detik kontennya bagus  gara gara iklan shopee diawal buka detik  close kecuali lihat tuntas  malas buka detik  kuota sia sia terbuang gara gara iklan relevan saya  tolong pilihan close iklan melanjutkan fair saya 
Irwantoro Irwan,aplikasi sgt bagus  isinya berita  peristiwa    
Septian R P,iklan video males baca
Wayan Sujana labek,detikcom memuat berita akurat terus berkibar
junior al biruni,jangan beritain artis porni oke
Rhamaleo,detikcom berita yg tercepat lah  aplikasi nya gampang tampilannya keren lah  salah aplikasi yg gua buka hp  update yah  video permudah penayangannya tinggal klik langsung play  terima kasih
Suryo W,very god
Yono Vanhouten,kebanyakan iklan skrg berimbang berita titipan dr tokoh 
sarimun,aplikasinya membatu sekali  mengikuti berita  terupdate    terima kasih
Rasya husen,ni aplikasi favorit ku
Dibyo Waluyo,beritanya up date menarik
Lisye Felintina,notif nya resek bgt 
kresna wibowo,aplikasi bermanfaat
206,yg nulis artikelnya kaum cowo cantik
Ricky Zema,beritanya aktual   
Niki Putriansyah,terlalu click bait berita gk bermutu
tono syafruddin,berita yg ganti judul
apri adi,sekarang iklan ganggu kenyamanan membaca
andri naldi,iklan lu kebanyakan  skip lagi parah  mau baca berita baca iklan
Ahmad Syukran,update informatif 
Mihati Mihati,detik jati media profesonal ygi independen  berimabang informatif  jangan media propokativf  
Layla Zara,informatif jujur kecuali politik negeri
Rendy Sadhita,gila pop up iklan bgt  ga close  uninstall
teddy akbar,iklannya kebanyakan    
He Sham,detik detik kematian   
Arif Mayor,bagus cepak
tengku agung febriansyah,tau berita terkini mantap
Mis Ro,berita terlengkap nyata asli narasumber yg murni
Coki Leonardo,update terpercaya   
Ronny G,asli ngeselin  iklan sih aja  nggak nutupin halaman  trus layar iklan freeze bbrp detik  diapa apain selesai  konyol banget  udahlah  uninstal
Teguh Wirawan,iklan nya parah aplikasi  tolonglah pasang iklan gak pake waktu  ah bangsat   
Mahar Cita,good app banyak informasi update
Lasriady Maryo escued,lebih menarik
Leonard Panjaitan,semoga informatif menjunjung netralitas
Yudi Lius,menggangu iklan artikel baca  gak baca berita dgn nyaman video iklan yg bikin layar jadj kelap kelip
Rojophp Php,iklan banyak  aplikasi detik error
heri prasetyo,mendidik
Angetin Official,ada iklan yg langsung ngelink app store   sangat mengganggu  
Arie Firmansyah,saya suka aplikasi ini  kesini  iklan detik netral 
bintang simanjuntak,akrn iklanx bner  nyebelin  klo udh iklan app gk diapa in hpx   jd speror
omah disen,setelah baca ulasan pengguna lain  gk install aplikasi ini  baca  web nya  detik skg judulnya lebay tp isi beritanya gk berbobot 
Tirta Amarzukih,favorite bgt pokoknya detik  
Lie Shintyawati,berita terkadang lebay
Adon Grandonk,di update parah iklannya      auto hapus apk
Hasyim Bin Mustamin,sangat puad jip
ajir muhajir1,netralitasnya kurang  bromin  
hari wahono,detikflash lemud banget
Bahar Hamanur,beritanya up to date  pokoknya mantap
Muchsin Salatun,dahulu dwktu muda didaerah beli koran kompas terlambat ya berita  dunia udah hp ngk
Deni Wahyudi,tidak pelayanan dirasakan nyaman gangguan terutama signalnya
Erlangga Praditya,banyak bug nih   jd uninstal aja lahh  masa hp jalan playstore download
lucky lutfir rahman,banyak iklan  tai
Thomas Kalaij,ada berita yg ngga diangkat tp dilebih kan
Rudi Waluyo,beritanya akurst
Ichsan Hudaya,yg good
Warung Tower,berita na command
Akhmad Sarifudin,info diberitahu cepat terpercaya
alviantoro pinno,makin kesini iklan  sory ane unistal  ane move aplikasi
Rikardo Butar Butar,berita bermutu     kebanyakan iklan
NH Zulkifli,cepat lugas
Bagus D,setiap buka app  iklannya ga nguatin    full   layar hp kadang ga dilewatin  mesti nunggu selesai   dulu ga kaya gini tik detik konten berita aja pengulangan konten redaksinya  diganti     paragraf aja  isi selebihnya berita sebelumnya  ckckck
chan lku,kenapa susah buka detik semenjak pembarui
Edi Mulyono,bagus update beritanya
Eduwin Eko Franjaya,terlalu pop up video iklan  full layar  dihentikan kecuali menunggu iklannya usai  sangat mengganggu membaca berita  tidak iklan baris baris berita 
Purnomo Wieq,tidak login kedalam detik     sampai detik ini pa words ditolak   
Marulloh Bangka,cuma kecewa aja membuka konten sex  ngga buka alesan usia anda         dahal usia saya    tahun   
Didi Ardyan Putra,iklan  iklan
jury pramono,easy to read and easy to understanding
Iman Maman,udah banyak iklan pas buka tutup berita  muak
H Atmarsono (Wikusuma),menyenangkan  informatif
Zain,mau baca berita disuruh baca iklan     
haslan rozanie,beritanya akurat up to date
Ringo Chan,berita ga jelas  
Ambar Ganteng,berita nya mantap
Dede Lahmudin,bagus berguna dibaca dimana aja  
Kusli Heri Sugiharto,terpercaya beritanya 
Rusley Wiratama,terupdate akurat    
Akwoz 099,beritanya pama terulang  gak update
fathurochman rochman,aplikasi bagus     
GX,sory  aja gw kasi   karna iklan lu kaya sampah  baca aja susah berita promosi  
Rudy Devianto,tidak kredibel nulis sesuai peaanan
Kampus Jiwaraga,dah beda   
Rachmat Gunawan10,detik baca detik  mantapp
Kamal Mubarok,independesinya turun drastis
ponco wibowo,puas om
oktavianus julius,beritanya uptudate  tpi mohon klo berita rohani agama mesti imbang dong  artis ustad yg jd mualaf  beritakan jg yg sebaliknya 
Domi Gus,beritanya bagus dan mohon iklannya kurangi tampil layar membaca 
Dustan Palistianto,detik oke    
Lazuguard,gk menerangkan berita kaya cuman clikbait doang
Sahat,konten jgn provokatif  membantu meneduhkan suasana berbangsa bernegara  bersikap netral obyektif  iklan tp jgn bikin ga nyaman membaca berita  wartawan yg tdk memiliki hati perilaku yg baik  dikeluarkan saja  menularkan yg tdk yg berpengaruh konten berita 
n sangidu,tolong kalo jgn kasih iklan  jadi ga nyaman terimakasih
Rizki Maulana,overall keren kok  udh terbiasa dgn detik  trus maju detik
RAKYAN CANDRA,aku instal detikcom membantu infornasi berita ter update
sumadi jono,tidak pakai
Achmad Albahar,tidak
Mr Mbgb,ini kesini iklannya banyak  harus menunggu detik sampe iklannya habis  ads nya mengganggu  ver iklan tolong tempatkan iklan iklan nya
Arif Budi,memberikan info up to date  tdk ketinggalan berita ini  tdk nonton tv dikoran
Zulfano Daily,aplikasi iklan  baru buka aplikasi gak semenit tiba  muncul pop up iklan  habis baca berita halaman   link berita   link iklan berita  jd kalo scroll lengkap puluhan link berita yg isinya cm iklan  gak mutu bikin aplikasi berita
Mas David,iklannya mengganggu banget    klo jaringannya letoy iklan mandek  ya udah bengong slesai       
Irfan Haryo,iklan nengganggu
Herman Brani,informasi akurat  klau bintang     harusnya harga negro yuga cantumkn 
co6 imam,tutup aja apk mu iklan byk gajelas berita kadang ngawur
Domu Domu,langsung uninstal  tiba  muncul iklan mengejutkan   berkualitas
Julius Hutapea,informasi yg netral  
Warsito,membantu berita update    
nce' Murhadi,semoga berita didaerah cepat akurat  detikbest 
Reynolds Panjaitan,popup berita layar utama buka berita dipilih 
Nurdiantoro,  yaa ok
Machfud Khan,hebring enak baca enak koleksi artikel beritanya 
Putra Pangemor,gampang akses
Fenliong Boy,iklan  
Supry Adi,membantu menembah wawasan edukasi  semoga maju
Kasmadi Kas,setiap kesempatan pasti bca detik com  siang malam   
Yudha Crew,penjelasan selslu tuntas
denrouff,semoga kedepan berita berbobot
Tri Masyanto Waloeyo,sangat membantu berita  up date
Rangga,iklan nya mengganggu  dan kali ngak tutup iklan nya 
barta succes,pilhan nyari berita apapun
muhammad arief,iklannya menganggu    
Naldi zee,suka beritanya update
Ghyfary Ramadhan Rumalutur,saya udah pake aplikasi ini  kalo iklan boleh  aja tiba  muncul layar full gitu  pribadi mengganggu pengalaman membaca berita 
EDI KANIGORO,sangat membantu kondisi terkini masyarakat indonesia
Andi,lagi baca berita layarnya flicker mulu   
Tubagus Baron,saya suka dgn detik dot com karena berita  update dn terpercaya
Pawon Asih,kebanyakan iklan  annoying abis  click bait dimana mana  no wonder your apps rating very poor
Sigitwho Singit,good oke
ファーラービーリズキー,bagus kok anda saja harus menyikapi berita apa yang anda ambil
Jimmy Willis,bacaan sya jaman hp msh bb     sukses detikcom          
Adi Michely,coba bagus tambahkan
Yhudi Darmawan,cakeepp
Zamroni,situs berita taik   ga netral  yg gw baca sepak bola detik inet 
Ali Arifin,semoga perhatian tulis ini  jujur detik aplikasinya  langsung install smartphone salah media referensi suka  namun terganggu banyaknya iklan  mungkin kebijakan iklan detik dikaji  saya tunggu respon perubahan baiknya  thanks
Sarip Udin,update berita aktual
Dimas Kemplenk,beritanya gk falid  isinya ya profokatif  
Alee Hasan,berita nya ga akurat  
Dandi Rahmawan,biar seneng
Ena Aza,berikan berita yg akurat vaktual
Saputro rusdi Mustofa,bintang     kalo beritanya salah salah  berat sebelah  aneh aneh  provokatif  doakan bernasib kaya bukalapak
Jien Bonex,pokoknya lo  raa rewel
AMK CHANNEL,banyak iklan  tidak peluncuran aplikasi ini   dn akurat
Doni Hardata,ini kanal berita  kanal informasi pihak  yg menciptakan berit gak benar    doakan wartawan detik gak diazab allah yaumil akhir  inget ya wartawan  berita gak bener aja menyebar fitnah  mungkin didunia kaya  tp akhirat bertemu dzat yg maha agung    
alimih sunandar,biasanya berita detikcom hsngat
Pandhito Sulistya Wahyuajie,detikcom diperbaiki  berita gk update  contohnya berita olahraga basket  banyak iklan mengganggu netral memberitakan permasalahan negeri  untuk uninstall app sampe detikcom informasi berita yg bagus dulu 
Kun Coro,terupdate    
Lizma Lubis,aku mendawload   dan hapus  memenuhkan memori hp
Yan Hendri,lagi enak  baca suka hilang sendiri  keberanda awal  balik lagi  lagi   kimay 
Edy Kusuma,berita bagus cepat
bagir bsa,ok  sdh thks
Fajar Kh Imam,busuk
Prapto Isanto,beritanya top   
DIYAUDIN YUDHY,beritanya bagus      
Bamz Saputro,  lah         lihat senetral seprofesional
Adnan baisa,skarang kedap kedip aneh    smakin aneh kadang mengomentari sejalur detik block koment trahir membuka aplikasi ini   dan menyudutkan tertentu   terimakasih uninstal
Arie Kadaril,masih error baca komentar  iklan yg nggak jelas 
sutikno darmowarsito,up to date informasi
mas Dian,lumayan  ditingkat km update berita
Pengguna Google,tetap terbaik  baca
Sugiyono Giyono,berita diawal menggiring opini    terus diklarifikasi
Fahrulmau,kenapa muncul iklan   ganggu banget  
rondang sibarani,tidak ketinggalan berita terkini berkat detikcom
Riski sawer,tau berita sabang merauke
Andre Caesar Hadi,apapun ceritanya berkarya berita update  rakyat pengorbanan jurnalis berita cerdaskan rakyat berita  terkini  kurangi iklan nya walaupun iklan pemasukan tambahan berita intensitas nya dipangkas     baik 
Voel Hj,saat memutar vidio artikel  layar smartphone kelap kelip hitam  dan berhenti artikel berita dibaca menu utama 
sekretaris bnr,nonsen
Sarju Irawan,lengkap 
Arif Sutikno,informasi cepat
Noel Rataba,beritanya update kadang miminnya pasang headline mikir dulu  
Firdaus Vida,update versi terbaru eh   detiknya ketutup iklan  liat videonya blm nonton blank ketutup konten iklan  beralih ajalah kemedia yg lain 
Dvyna Art,iklannya banyak 
Tono iWey,tombol  pilih reaksi  gak klik yak   
Rainbow of Life,jadilah sumber berita org org
F.D. Aji Kurniawan,tolong  perbaikin  iklan yg masuk mkasih detikcom good 
Achmat Muhklisun,cepat akurat lengkap
Die Nata,beeita lmyn update tp sayang iklannya bnyk bngt  jd megganggu    
Feptin Helda,berita ngawur  seenak bacanya
David Be,berita fakta no  hoax
Leman Handoyo,mantap infonya terus maju detik
frans lando,ah
Almazt Hadiningrat,saya suka beritanya  benci iklannya
Ahmad Fudaili,good    
Johansyah Mansur,berita nya update   membantu sekali     
Tenny Elvira,mentri te
Teddy Horas,berita nya lumayan cepat berkualitas
ibnu gaming,bagus versi nya kasih bintang
gamez 90 an jadul,coment muncul   
masHRD,beritanya proporsional
radya pradipta,simpel  padat  terkini
Kahar raba,belum tau
Joko Mondinger,maaf     kebanyakan video iklan aplikasi           tampilkan portal berita
Run Tea,please    media independen   biar kasih   bintang
Ari Suhandi,iklannya bikin bete
Yusro Husen,beritanya memihak  menggiring opini menampilkan berita konten sosmed
Hairudin Rizky,bagus info info terkini
iwanikhwan60@gmail.com tanjungbalai,mantap  akurat  terpercaya   
NURUL HIDAYAH,bagus  beritanya up to date   
Iwan G.,terlalu iklan  fitur skip    menunggu    terpaksa uninstal download portal berita lain 
Susen Yudha,kebanyakan click bait ah
Nur Akhmad,beritanya uptudate suka
Rachmawan Putra,berita bagus  terpercaya 
Albert Kufa,bagus  memberikan informasi terupdate
ovinx silverberg,beritanya update sumber informasi yg terpercaya
Sudwi Katmono,pk ojong  yakov oetama  manai sophiaan  pewaris rosihan anwar pwi mubes mukernasda 
Diki (Dik),berita baca especially motogp
Yan Sudiarto,penuh iklan  kasihan
Yudi Setiawan,media sampah  click bait  berimbang independent  terlalu judul bombastis cocok isi berita  lebih cocok media gosip 
ALAK REZA,gw dl baca berita bola aja   tetap bintag mah   aja  
AtheenaKizzy mahira,auto uninstal  iklan yg slama ni view pendek  banner  jd full video  hrs nunggu slesai  kyk tv aja
Widodo,good ajalah
Agung Yusianto,update infonya     mantap
Dimas,mantap lah  update banget informasinya       
Zaky Zakariyya,media kacang goreng
John Katuas,kenapa kemaren ngk buka komentar ya mutar  trus buka komentar
maulana andra,terlalu iklan video putar otomatis  salah menyajikan kata  diberitanya  kadang kolom komentar dibuka uninstall dlu install ulang lagi  berita yg ngambil podcast youtube 
dwik gerard,diupdate ga buka kolom komentar   
Camilo Devan,detik sprti lg   
Alfian Zein,iklannya gak skip dong  kan aus 
Tri Cool,buka komentar loading trus gak kebuka     payah
Moh. Mahdi Yusuf,editornya kecolongan  artikel typo
conjunction duck,kolom komentarnya loading melulu nih
Presta Mustiko,loading jd lama buka kolom komentar ujungnya gak kebuka  ditambah bnyk iklan yg mengganggu    
Ali Tjuarsa,beritanya enak dibaca terkini 
ANDRU SOPII,selaku baca
Oduy_yp pamungkas,pembaruan kualitas ancur 
Ramadhan Aswar Annas,jangan kebanyakan iklan
Heru Bowo,neritanya cepat akurat  namun konten berita bernuansa politik menimbulkan konflik netizen  baiknya dikurangi  dikemas dgn judul yg lenih netral 
BobyCahyadi23@gmail.com Cahyadi,komentarnya muter trus  asik
John Wu,spam iklan doang  parah 
Nick lodeonz,kolom komentar ga dibuka loading ga karuan
Arief Yuwono,selama   minggu video yg diunggah dibuka bikin hp nge hang
anggi hermawan,tingkatkan berita bermutu jgn angkat berita yg transgender  lgbt yg kominitasnya bangga diangkat beritanya
Syahrul Sihombing,berita nya diulang ulang  pake judul bombastis  hadeh
Pengguna Google,kolom komentar loadingnya lemot
Listyo Prasetyo,tetap profesional berita update baik   
asri setyowati,selalu update berita terkini
Kuple Letoy,toop
ardielsadyca,sering scroll udh atas   kadang pengen komen ga bs komen haedeh
Ahmad Jaini,sabgat membantu update berita
gusdek setil,aida melako sia sate kauk
Oki Hadi Putra,sekarang beritanya gak berimbang jam muncul wan abud pencitraan  muak gak guna  langsung unistal detik juga 
ariecandra buana,ok  update beritanya
fazri adha,bad is often broken
AnankValle 46,banyak pilihan beritanya
Suharyadi,mendapatkan info cepat akurat
helem fikri,kadang komennya lodingnya
Fahmi Noor (Bang Bob Kaltara),duh detik skr iklan videonya sih    lama  kayak yutub nih  ntr  iklan   ntr  iklan   
Andry Tanjung,akurat percaya
Mingky MNZ,detik ngk bermutu beritanya  berita artis yg ngk penting  klo bahas berita artis berita sampah  pisahkan folder lain  jgn satukan halaman berita utama donk  makin bermutu 
Natanael Sunaryanto,mudah diakses pengelompokan beritanya bagus
Hendro Suseno,up date terbaru bikin lemot kolom komentar susah diakses loadingnya lama dari bintang   kasih bintang   aja   nanti kalo versi udah kenceng bintang lagi 
Nanda Sutrisno,iklan tahap mengganggu bos   selebihnya oke  
Los Blancos,bnyak hoax
Go Jek,bintang   aja unfaedah
Pengguna Google,detik aplikasi berita yg bagus   era digital zaman   dimana membutuhkan informasi hitungan detik   beritanya berimbang   semoga sukses    
Herry Anwar,best news update
Aan Ganteng,zaman sumber berita ngak jelas  udah ngak kayak wartawan zaman doeloe  
Luela Indriyani,beritanya cepat detik sgt membantu hrs rumah
Abdul Kohar,perlu update berita
arif rachman,kolom komentar block saya  payah nih detik
Muslich Bahauddin,baru tau berita detikcom
Zulhawary Agustianto,berita artis ndak berfaedah  judul lebay alay
andrew manik,komentar diupdate min  tolong perbaiki ya
Ghufron Edi Wibowo,aplikasinya suka error   kebanyakan iklan
joshua urwon,berwawasan luas beragam      
Herman Effendi,enak  baca
Deni Suhenda,good    job
Ilham Ramdhani,saya kasih   bintang terkadang judul berita terkesan provokatif mengarahkan opini sepihak 
Rizky Wardhana,ok ga ok ok
Santoso Atmadja,berita  negri terbaru
Benygara Gara,ho oh wae
bambang ismail,iklan nya skrang mengganggu  tolong penempatan iklan nya jd memenuhi layar utama  jd berita nya gak kebaca 
Nakal 0312,infonya mantul   
Yuvi Yusnia,cepat objektif terpercaya
Muhammad Suranto,loading komentar banget min     dari semalam gak buka komen 
ᄅ ᄐ ᄂ ᄆ,mencerdaskan anak bangsa
lau tony,sy baca detikcom
Vya Trisna,menuhin memori
VICTOR WAHYU ANDONO,berita nya membantu memecahkan belah bangsa     mungkin detik bayar ex napi sakit hati menaikkan citra nya nyebar hoax ya
Alvian Wijaya,mudah aksesnya
Aryo Bagus Wijoyono,cukup informatif
Sapto Hadi,saya suka baca detikcom krn cepat penyajiannya komentar  nitizen berani kadang  menggelikan   
King Narto Aji,kurang berbobot
Fajar Baryadi,beritanya update dn terpercya  
Nanang Fauzi,lumayanlah infonya
Andreas Adoremus,mo uninstal detik koq gak yah tolong saran  
gek ha ng,yg br   if
tonny Herdianto,memberi informasi berita up date
Arya Tinjo,tolong iklannya kondisikan
Stefanus Nico,tidak kredibel berita klikbait
Gazar A Nazarudin,news maker
firjatullah damar,berita update   
Rahmat Budiantoro,kolom komentar muncul
Trumon Raya,aman
kustarwoko jaya,berita aktual  memihak  menghindari hoax  lengkap pengetahuan
Budi Karuniawan,suka beritanya yg update
Yos Wicaksono,mantap rating     gak diblokir ama playstore hahaha   benahin tuh bnyk bintang   detik   
Floriana Lewar,suka beritanya 
Edy Soeripto,buat update berita
Wolter Loegimin,sangat sekali sangat memuaskan
Muhammad Fahrun,berita ditampilkan sesuai fakta
hisar silaen,kalau iklan dikurangi  apk berbayar bebas iklan   
Mau iNiiTu,isinya cm berita yg ngalor ngidul  tp beserta iklan gak penting   kesini ga
zaenal mustofa,sesuai kenyataan  bohong an
Irma Sapitri,aplikasi bagus makasih ya
Bilqis Syaqira,semenjak kepala redaksinya si ginting    isinya jd ga netral   ga obyektif   cebongers abi    mestinya isi berita obyektif   kampret  realita fakta dinomor satukan jd buzzer berkedok berita online   hadehh   pegang kode etik jurnalistik bro  
yong sien yap,good portal news
andrian andrian,lengkap membuka wawasan
Wahyudi 1969,media netral  suka klik bait utk memframing   
Rio Saputro,lumayanlah
Alma 0711,goid
Wahyudi Yudi,uhuy mantul
Afatsudarto Sudarto,ok lah 
Veri Well Sihombing,ini aplikasi berita iklan  sebel iklan iklan
Agung Sandi,mengiklankan memberitakan  serba salah butuh tdk butuh berita 
Jack Ae,saya suka suka  
Nasir Muhammad,luar mantul
Alvin Gunawan,jngan bnyk berita  artis indonesia gk bermutu
Foku45 family,sy dah kasih   bintang    jngn mandul lagi    klu gtu sy uninstall ntr
MH Susilo,bagus  cepat   
AL Ghazwan,ok jugag
Jabal Adi Bagus,berita nya update    mantap
Lone Linggae,media yg sll tanggap dgn berita terkini terus ditingkatkan lagi   sukses
sepfi maulana,payah beritanya ga iklan obat berafiliasi penipuan yg ga komentari   sehingga merugikan orang
kia sianturi,detikcom update dgn bahasa yg mufah dimengerti  semoga maju  diharapkan perbanyak berita  dr jawa jg ya 
Nixon Simatupang,semoga informasinya berimbang
djarkoen ASMR,jadi media tanggung nya besar  demi kemajuan bangsa ini  jangan  klik    kau korbankan rakyat   jng materi kau korbankan indonesia berita berita adu domba  sesat kredibel
Jerry Yap,sangat membantu sehari suntuk baca  berita hp  sgt apreciate detikcom beritanya sampe skrg berimbang selingkuh rakyat  kelemahannya berimbang buzzer bertebaran kolom komentar
adi yanto,mungkin krn tdk netral  tdk netral tp yg baca  disitu bingungnya   
mgi ardjoe,berita menyajikan netral redaksi yg menyangkal dirasa salah satunya  ini berita acara tv one    juga dirasa lain  tp dirasakan yg berita seimbang    juga metro tv    jd tetaplah keyakinan redaksi dirasa jalankan  kecuali sponsor  atur tatacara tayang biar mengganggu
doddy pratama,portal berita nomer   menemani
Fatkurokhman Fatkurokhman,baritanya dipertanggungjawabkan  tingkatkan mutu berita kecepatan menyiarkanya   
Agus Sunaryo,semoga mengedepankan fakta realita rekayasa
Roni Setiawan,portal berita ol nomor pribadi
Hendrik Arianto,kurangin iklan  banyakin berita  kebalik  
Fla Jay,sangat membantu pemberitaan terupdate
Ferry 290572,berita up date   ok
Rabiman Tn,tingkatkan cepatan berita terbaru
Cahyo Rianto,bermanfaat pengetahuan
Pa Karno,pengganti koran
Beby Nurdianty,selalu dpt info yg
Ito Warsito,portal yg cepat update berita terbaru
Firce Rotinsulu,unreal
Pujianto,mbah detik     sudah kasih bintang       kenapa ratting bintang breapa lagi    
Hardiansyah Dahlan,beritanya selalu update
Sony Lim,update bangat
Tunjung Sasongko,detikcom terupdate menyajikan berita   berita negeri   menambah pengetahuan   wawasan luas   terima kasih detikcom 
Candra Lie,top detikcom
Teddy Heryansyah,lengkap beritanya   tambah berita bursa efek   mana nich khabar  khusus bursa
Djumadi 02,infonya ok banget 
Yusuf Fahmi Adiputera,buka salah berita  ga ngeklik apapun  banner iklan tau tau buka play store berkali kali  pencet back langsung play store lagi  force close detik bener 
Pengguna Google,tingkatkan lanjutkan   
Andhini Kawai,britany sih update trs cm kebanyakan iklan jd bagus mengganggu saja   tolong dikurangi iklanny
Yulianto Hq,terkini faktual
Iyek Iyek,kadang buka gambar lemot jaringan  
Crz Pranata,good  up date
Gun Nawan,beritanya valid cepat menginformasikan kepd masyarakat 
Ferdi Ansyah,iklan nya parah 
Rahmatia Miralena,bagus banget  beritanya cepet update  kalau berita terbaru detik up dluan 
Ujang Kurnia,ehm
jazz bk1052ak,aplikasi kadrun
Hikmat Fajarudin,tampilannya bagus
Iis Uprutz,jelas beritanya gk berteletele
Jon Rico,setiap buka detik layar hp mati nge blank on hp nya  padahal aplikasi laen lancar semua  ada denganmu detik 
Abdul Rozak,bagu      sangat membantu
Mamik Dwi Hartanto,coba cari tau kasih bintang  
Richard Neyte,banyak pengulangan berita basi
Faisal Akbari,fresh beritanya
Suhadi Hadi,berita aptudet seringkali kubuka aplikasinya 
ns pasha,berita nya terbaru  bagus
Akhiong Sujanti,beritanya akurat   terpecaya
Firry Hulu,beritanya provokatif
Uhud Mangkona,lumayan informatif
Syafiqah Aulia,sangat buruk udah masuk masuk login parah  
Maxi Sampelan,sangat membantu utk cepat  akurat terpercaya 
Jamaljemz Jemz,informasi yg
Muhamad Masdi,berita menarik utk baca
atto ode saira,akut mantap
Iswandi Ilyas,berita detikcom update bertanggung dipercaya
Muhammad Irawadi,moga
Budiman Hartono,suka baca beritanya update
Budy Priyanto,bermanfaat berita terkini  lanjutkan  
Ifan Raffael,update berita terkini
YS funny funny,berita politiknya tolong provokasi
Bagindo Asman,merasa puas beritanya 
Kamto Kamto,terpercaya akurat
Harlan Budiono,beritanya cepat   akurat   terpercaya
adi santosa,sederhana
Ahmad Zakki,iklan msh byk  utamanya buka berita 
Y α ɢ α ĸ l e r r,sering ngebug
